Volvo FH,$ 19 990,https://im.mashina.kg/tachka/images//e/c/e/ececbc2e1fab3ff3d568e7d6d672a12d_240x180.jpg,"1999 г., 12 л., механика,дизель,руль слева"
Daewoo M2TSF,$ 2 636,https://im.mashina.kg/tachka/images//3/3/3/333a89f1277eba40ee4447fbb1cba0a4_240x180.jpg,"2011 г., 11 л., механика,гибрид,руль слева"
DAF 95 series,$ 17 000,https://im.mashina.kg/tachka/images//a/3/9/a3909f2595c121878bd4c0715d4a87ac_240x180.jpg,"2000 г., 12 л., механика,дизель,руль слева"
Volvo FM,$ 29 000,https://im.mashina.kg/tachka/images//1/9/5/195dfbed782b9c7e486e5e43247a9166_240x180.jpg,"2007 г., 12 л., автомат,дизель,руль слева, 89 000 км"
Volvo FH,$ 28 000,https://im.mashina.kg/tachka/images//f/5/a/f5a8d8d2b147ec77ae134c5941fd3ff2_240x180.jpg,"2001 г., 6 л., механика,дизель,руль слева, 250 000 км"
Volvo FH,$ 55 000,https://im.mashina.kg/tachka/images//7/f/f/7ff4359ba73625b42f0bcc50ad2baff5_240x180.jpg,"2016 г., 13 л., автомат,дизель,руль слева, 10 000 км"
DAF XF105 series,$ 25 999,https://im.mashina.kg/tachka/images//6/e/5/6e5a4b081869ba007ac63fc2ccab0d35_240x180.jpg,"2011 г., 13 л., автомат,дизель,руль слева, 12 000 км"
Volvo FH,$ 36 000,https://im.mashina.kg/tachka/images//2/5/6/256e0b1a1c08bb03f17886cf055c7f0b_240x180.jpg,"2009 г., 13 л., автомат,дизель,руль слева"
DAF XF105 series,$ 30 000,https://im.mashina.kg/tachka/images//d/e/9/de995f5f9abcf12ea87f4f5f185bcc54_240x180.jpg,"2010 г., 13 л., автомат,дизель,руль слева, 1 000 км"
Volvo FH,$ 32 000,https://im.mashina.kg/tachka/images//c/e/c/cecb6261bbc7ef41c97f57394356bcdc_240x180.jpg,"2008 г., 12 л., автомат,дизель,руль слева, 180 000 км"
DAF 95 series,$ 23 000,https://im.mashina.kg/tachka/images//9/a/0/9a06afc726d92a027518a976bc0f6690_240x180.jpg,"1998 г., 12 л., механика,дизель,руль слева, 475 770 км"
MAN 26,$ 9 000,https://im.mashina.kg/tachka/images//e/f/e/efe0f65008be5fac0828f1483d1a9d20_240x180.jpg,"2000 г., 12 л., механика,дизель,руль слева"
MAN TGS,$ 21 500,https://im.mashina.kg/tachka/images//0/e/f/0ef54a16962bddf41a98912c113d009d_240x180.jpg,"2001 г., 18 л., механика,дизель,руль слева, 777 888 км"
DAF 95 series,$ 15 000,https://im.mashina.kg/tachka/images//6/1/f/61fe9dab4b338f85eabce3b44e52b18e_240x180.jpg,"2002 г., 12 л., механика,дизель,руль слева"
DongFeng DFL - Series,$ 15 000,https://im.mashina.kg/tachka/images//4/0/8/40889b5889ce24aacb616b5a15b0502c_240x180.jpg,"2013 г., 8.9 л., механика,дизель,руль слева, 95 000 км"
Renault Magnum,$ 18 000,https://im.mashina.kg/tachka/images//e/e/9/ee908a8332cf8ae144fe85d2e9749d60_240x180.jpg,"2008 г., 13 л., автомат,дизель,руль слева"
Volvo FH,$ 63 000,https://im.mashina.kg/tachka/images//5/8/3/583700cb0d8d5a74495fd037b6ef1f1d_240x180.jpg,"2016 г., 4.6 л., автомат,дизель,руль слева, 800 000 км"
MAN TGX,$ 34 000,https://im.mashina.kg/tachka/images//e/7/2/e72445493249d570770f9c85acc2a7a1_240x180.jpg,"2012 г., 12 л., автомат,дизель,руль слева"
DAF 95 series,$ 15 500,https://im.mashina.kg/tachka/images//d/7/b/d7b0723bf8c5a942fdd2520e8ac28f58_240x180.jpg,"2000 г., 12 л., механика,дизель,руль слева, 800 000 км"
DAF 95 series,$ 20 000,https://im.mashina.kg/tachka/images//c/9/e/c9ed62a196cb0aac66c16d304c24d876_240x180.jpg,"2005 г., 12 л., автомат,дизель,руль слева, 1 000 000 км"
DAF 95 series,$ 5 000,https://im.mashina.kg/tachka/images//3/a/0/3a0779e7706a78fd644df9ecb1f0c989_240x180.jpg,"1992 г., 12 л., механика,дизель,руль слева, 1 000 000 км"
DAF XF105 series,$ 30 000,,"2009 г., 15 л., автомат,дизель,руль слева, 1 000 000 км"
Renault Kerax,$ 25 000,https://im.mashina.kg/tachka/images//3/5/5/3556d4d7b2c02ccc096a801a95a1c74c_240x180.jpg,"2004 г., 11.6 л., механика,дизель,руль слева"
MAN TGA,$ 20 000,https://im.mashina.kg/tachka/images//f/5/8/f5800556551a22024e7b73859817f157_240x180.jpg,"2013 г., 6.3 л., механика,дизель,руль слева"
DAF XF105 series,$ 28 500,https://im.mashina.kg/tachka/images//9/c/6/9c6632d275efdd8295ecb09c420f865f_240x180.jpg,"2012 г., 12 л., автомат,дизель,руль слева, 795 000 км"
IVECO EuroStar,$ 8 387,https://im.mashina.kg/tachka/images//c/a/1/ca1d157be5e6520787ca49695354b549_240x180.jpg,"2002 г., 12 л., механика,дизель,руль слева, 1 000 км"
Mercedes-Benz 4x4,$ 15 000,https://im.mashina.kg/tachka/images//d/b/7/db72b63086bf8c4f2a7fdbd5d0fdb69b_240x180.jpg,"1998 г., 2 л., автомат,дизель,руль слева, 856 000 км"
DAF XF106 series,$ 35 000,https://im.mashina.kg/tachka/images//8/b/7/8b75f74ce68acc4464703a96c909a692_240x180.jpg,"2015 г., 5 л., автомат,дизель,руль слева, 930 000 км"
Volvo VNL,$ 25 000,https://im.mashina.kg/tachka/images//1/b/c/1bc00987725bbdf21d0da74c91602314_240x180.jpg,"2005 г., 15 л., механика,дизель,руль слева, 1 000 000 км"
DAF XF95 series,$ 29 000,https://im.mashina.kg/tachka/images//4/a/c/4ac554f86722d11de97a755bd6ba8533_240x180.jpg,"2006 г., 12 л., механика,дизель,руль слева, 255 555 км"
Volvo FH,$ 22 000,https://im.mashina.kg/tachka/images//2/7/7/2777e3162ecffa8596611f94048a7922_240x180.jpg,"2001 г., 1.2 л., механика,дизель,руль слева"
Renault Premium,$ 40 000,https://im.mashina.kg/tachka/images//e/b/6/eb6f8a059ea05ef1b0a53b924244bc37_240x180.jpg,"2014 г., 11 л., автомат,дизель,руль слева, 800 000 км"
Volvo FH,$ 38 000,https://im.mashina.kg/tachka/images//a/2/f/a2f2bb347b876e8483b1d1d9afbcad03_240x180.jpg,"2011 г., 13 л., автомат,дизель,руль слева, 1 000 км"
Volvo FM,$ 40 000,https://im.mashina.kg/tachka/images//6/7/d/67d1b96a0109e39af727534cc943605e_240x180.jpg,"2010 г., 10.8 л., автомат,дизель,руль слева, 800 000 км"
DAF 95 series,$ 28 000,https://im.mashina.kg/tachka/images//2/b/2/2b2657d4783a8bcc8540287387f600a0_240x180.jpg,"2005 г., 12 л., механика,дизель,руль слева"
DAF XF106 series,$ 35 000,https://im.mashina.kg/tachka/images//3/9/0/3903060b4c5ef3c048375588caca0388_240x180.jpg,"2014 г., 13 л., автомат,дизель,руль слева, 850 000 км"
Howo ZZ4187N3511V,$ 45 000,https://im.mashina.kg/tachka/images//2/c/2/2c21b3877eeed74192551b6c75abc1fa_240x180.jpg,"2020 г., 10 л., механика,дизель,руль слева, 5 000 км"
Volvo FH,$ 29 000,https://im.mashina.kg/tachka/images//f/6/4/f645a028fb81ec1b5e92bd827c5f7cd8_240x180.jpg,"2005 г., 12 л., механика,дизель,руль слева, 120 000 км"
Volvo FH,$ 84 500,https://im.mashina.kg/tachka/images//7/f/4/7f4601c0831a63190af1ce7ef3366d36_240x180.jpg,"2013 г., 13 л., автомат,дизель,руль слева, 1 000 000 км"
